C:21-H:21-N:2-O:2-X:1	Cl:H	2843:2939	1725:1850
Ni:3-O:8-X:2	P:As	8949:183	1926:1814
C:7-H:7-N:1-O:5-X:1	S:C	9616:3381	1958:1865
H:28-N:1-O:20-S:2-X:1	Fe:Cr:Al	5593:4491:578	1844:1792:1920
Cr:2-H:12-N:4-O:7-Pt:1-X:2	Br:Cl	9980:9979	1972:1927
Au:1-X:1	I:Cl	743:2452	1854:1982
Au:1-X:3	Cl:F:I:Br	352:4161:2436:1741	1821:1849:1704:1799
C:2-H:1-Cl:3-O:2-X:2	H:C	1918:7584	1708:1947
H:2-O:4-S:1-X:1	Mn:Co:S	3509:3797:2468	1776:1885:1927
H:2-O:4-S:1-X:2	K:O	4824:2085	1981:1714
C:6-H:10-Cl:1-X:1	H:Cl	9154:10026	1835:1888
C:2-H:6-S:1-X:1	O:S:C	8552:4419:6651	1832:1859:1900
C:2-H:6-S:1-X:2	S:Br:O	4420:9591:6696	1725:1918:1874
H:12-Na:2-O:6-Pt:1-X:6	Cl:Br	24:1713	1845:1795
H:2-N:1-X:1	K:H:Na:Cl	7147:144:6844:10260	1729:1843:1787:1826
C:2-H:6-S:1-X:4	O:C:N	1507:8152:8023	1971:1762:1851
C:2-H:6-S:1-X:5	O:C	7250:3094	1803:1944
Cl:1-H:2-N:1-X:2	H:Hg	31:2395	1897:1992
C:1-H:5-N:1-O:2-X:1	C:O	771:151	1914:1723
C:2-Cl:3-O:1-X:1	H:Cl	1940:4080	1781:1806
K:2-N:6-Ni:1-O:12-X:1	Sr:Ba	9144:7236	1965:1876
C:6-H:4-Cl:1-N:1-X:2	Cl:N:O:H:Br	3692:9744:8533:4061:4042	1967:1758:1976:1807:1934
C:9-H:12-N:2-O:1-X:1	C:O	8074:4885	1727:1814
C:8-H:17-Cl:1-X:2	C:O	2011:7566	1851:1724
O:7-P:2-X:2	Ca:Ba:Zn:Co:Fe:Mg:Hg:Ni:Cu:Cd:Sr:Pb	3905:549:1644:1682:9348:1277:4317:10424:4291:4509:1278:4493	1792:1814:1944:1977:1876:1700:1962:1943:1786:1775:1864:1801
H:12-N:6-O:8-Pt:1-X:2	H:O	5053:7948	1914:1958
C:3-Br:4-O:1-X:2	Cl:Br	5916:5917	1816:1891
O:7-P:2-X:4	Tl:Hg:Ag:K:H:Na	9437:4582:4520:2043:1743:1642	1704:1747:1985:1907:1702:1898
Tl:4-X:6	Br:Cl	9101:8625	1827:1844
H:2-N:1-O:3-S:1-X:1	K:H	3920:411	1978:1740
C:5-H:14-O:1-X:1	C:N	5506:5508	1810:1783
C:5-H:14-O:1-X:2	C:N	3824:9558	1817:1962
C:7-H:2-Cl:2-O:2-X:2	H:Cl	3660:10696	1732:1891
C:2-H:8-Cu:1-O:8-X:2	C:H	3353:414	1792:1805
C:12-Ir:2-N:12-X:3	Cu:Pb:Ba	7860:7856:7809	1879:1918:1799
C:6-Mn:1-N:6-X:3	Ag:K	2518:2505	1753:1856
F:4-H:12-Mo:1-O:8-X:1	Co:Zn:Cd	10311:10435:10436	1886:1939:1933
C:4-H:8-Cl:2-X:2	O:S	9176:8006	1929:1939
C:6-K:3-N:6-X:1	Co:Fe:Ir:Mn:Cr	2041:863:2103:2505:3172	1756:1710:1760:1856:1716
C:6-H:4-I:1-N:2-X:1	Br:Cl:N	10722:10723:10091	1734:1766:1768
C:3-H:6-O:2-X:1	C:O:S	8576:1963:9313	1754:1897:1894
C:9-H:10-O:2-X:1	C:O	3375:4037	1993:1852
C:3-H:6-O:2-X:2	C:O:H:N	7712:6957:6840:5913	1841:1996:1872:1707
C:9-H:10-O:2-X:2	C:O:H	10815:4040:6720	1712:1707:1734
C:6-H:4-I:1-N:2-X:3	Cl:Br	10734:10731	1828:1890
C:9-H:10-O:2-X:3	C:O	10593:9247	1996:1870
H:2-K:2-O:7-X:2	Sb:P	3569:4296	1814:1924
Cs:1-O:4-S:1-X:1	Cs:H	7734:7752	1823:1917
H:4-N:3-O:4-P:2-Pb:2-X:1	Pb:H	9856:9857	1997:1975
K:1-O:3-S:1-X:1	Cu:K:H:Cl	5246:106:2978:2331	1703:1954:1805:1749
Ba:1-O:1-X:1	H:O	7142:252	1952:1994
Cl:2-O:8-X:1	Pb:Sr:Zn:Cu:Mg:Hg:Mn:Ba:Ca:Fe	1775:1766:1762:1841:1758:1765:1763:1738:1829:1759	1902:1836:1832:1733:1810:1981:1769:1839:1760:1983
C:9-H:7-O:1-X:1	N:Cl:H	5529:4907:2038	1770:1707:1719
C:6-H:3-Br:1-N:2-O:2-X:2	Br:O	9265:9737	1887:1868
C:3-H:2-O:5-X:2	C:Cu:H	8421:9504:5355	1988:1948:1849
C:9-H:16-N:2-O:4-X:2	C:H	4660:5699	1806:1876
C:5-H:11-N:1-O:2-X:1	C:O	4637:11072	1740:1896
C:9-H:3-N:4-X:9	H:N	5884:6260	1761:1740
K:2-O:5-X:2	Sb:S:Te	1046:3698:2112	1738:1955:1946
H:1-Si:1-X:3	Br:I:H:Cl	6504:6533:6792:6734	1890:1811:1733:1763
C:7-H:6-N:1-O:4-X:1	N:H	3093:5527	1724:1854
C:16-H:12-N:2-O:2-X:2	S:O	3111:3107	1700:1789
C:3-H:6-N:2-O:4-X:4	H:C	9366:3093	1835:1724
C:6-H:2-Cl:1-N:1-O:2-X:2	Cl:H	10094:8533	1890:1976
C:4-N:4-Zn:1-X:1	Pt:Ca	847:1818	1768:1845
C:4-H:2-Ca:1-O:4-X:4	H:O	2013:4402	1931:1849
C:2-Ag:1-N:2-S:2-X:1	Au:K	9457:4988	1905:1707
C:6-H:3-I:1-O:1-X:2	I:H	8054:9598	1937:1791
C:3-H:4-I:1-O:1-X:1	H:I	7362:10512	1849:1727
As:1-X:1	Al:H:I:S:Fe:Ni:Rh	1290:8779:4792:2321:2357:4761:139	1795:1990:1818:1709:1912:1979:1941
As:1-X:2	Zn:Co:Fe	1729:2393:2397	1874:1818:1812
As:1-X:3	Cl:Cu:F:H:I:K:O:Br	417:7431:986:128:1526:282:182:1525	1728:1994:1980:1832:1760:1989:1856:1968
As:1-X:4	O:S	117:1106	1838:1757
Cl:2-H:8-O:7-X:4	Pb:Pd	519:3220	1927:1929
C:2-H:9-Cl:1-X:2	N:C	8103:10552	1841:1804
F:5-K:1-X:1	Zr:U	7453:9787	1860:1987
O:6-X:3	S:Cr	2068:7395	1737:1905
C:3-Cl:2-O:1-X:4	Br:H:Cl	5916:6956:7256	1816:1967:1947
C:3-H:6-N:2-X:2	O:C	5913:2194	1707:1708
O:6-X:4	P:S	4732:3130	1702:1793
O:6-X:5	Fe:Rh:S	761:1441:4239	1935:1821:1893
C:6-H:15-N:1-O:1-X:2	O:C	8359:8925	1955:1810
C:3-H:6-N:2-X:4	N:O:C	2051:3849:6025	1801:1896:1734
C:9-H:10-N:2-X:3	O:C	7303:4076	1998:1923
C:8-H:12-O:6-Pb:1-X:2	O:N	2946:9678	1735:1954
I:2-O:2-X:2	O:Na	3729:1995	1777:1891
C:6-Ca:1-Fe:1-N:6-X:1	Fe:Ca	7897:1548	1832:1790
Ag:2-X:1	O:S:Se:Te	733:1099:639:1675	1823:1724:1901:1794
C:9-H:10-N:2-X:4	O:H	4870:8442	1869:1851
H:12-N:2-O:14-P:4-X:1	Ca:Cu	4790:4833	1735:1859
I:2-O:2-X:3	O:Sn	513:8320	1923:1844
C:9-H:9-N:3-O:2-X:3	C:O	4930:8123	1825:1715
C:9-H:9-N:3-O:2-X:4	O:H	2422:10671	1897:1931
Cd:1-S:2-X:3	S:O	7578:3506	1774:1746
C:4-O:2-X:8	Cl:H	2807:2842	1976:1831
C:9-H:11-O:2-S:1-X:1	Cl:H	10255:10661	1830:1925
C:6-H:13-O:1-X:1	Cl:H	2668:5506	1735:1810
C:9-H:7-N:1-X:4	H:O	6994:4242	1797:1734
C:7-H:3-Cl:1-O:2-X:2	H:Cl	2846:4029	1729:1916
C:14-H:18-O:3-X:1	O:C	7021:2169	1893:1727
C:11-H:22-O:2-X:1	O:C	5707:8180	1952:1974
Cl:1-H:12-N:4-Pt:1-X:1	Cl:Sn	2872:5689	1851:1763
C:10-H:10-X:2	N:O:C	3898:3375:4747	1765:1993:1787
F:7-H:12-N:3-X:1	Si:Ti:Zr	7128:7224:7401	1994:1772:1956
C:10-H:10-X:4	O:H:C	4746:2555:2267	1730:1786:1726
C:10-H:10-X:6	O:H	3859:18	1998:1759
Hg:2-O:7-X:2	Mo:N:P	5650:5415:4317	1860:1891:1962
C:12-H:11-N:1-O:3-X:2	C:O	4652:5525	1859:1989
C:14-H:14-O:6-X:1	Ba:C	2835:9727	1755:1991
C:11-H:18-X:7	C:O	10609:5924	1996:1770
C:4-H:12-N:2-O:1-X:3	O:C	1551:2922	1824:1948
C:2-H:6-O:1-X:1	O:S:Hg:Sn:Te:Zn:C	6796:8552:5969:7693:6172:9304:300	1982:1832:1761:1895:1871:1795:1903
C:2-H:6-O:1-X:2	N:C	4723:7097	1841:1934
C:15-H:33-Sb:1-X:2	I:Br:Cl	6179:6178:6487	1705:1741:1795
C:8-H:6-N:3-O:6-X:1	H:N	7610:2697	1994:1749
C:2-H:6-O:1-X:5	O:C	2692:998	1782:1720
C:4-H:6-K:1-N:4-O:3-Pt:1-X:1	Na:K	7910:836	1788:1902
Sn:1-Sr:1-X:4	I:O	1371:7229	1920:1817
C:4-H:7-N:1-O:4-X:4	C:N	4432:14	1947:1723
C:10-H:11-O:5-X:1	H:N	9675:6224	1867:1835
H:2-O:4-P:1-X:1	Sb:Tl:Na:K:Li:H	1362:9419:2048:774:4733:90	1780:1795:1918:1796:1765:1972
C:4-H:10-O:9-X:1	Ca:Cu:Sr	8147:1258:7206	1807:1838:1818
H:12-K:2-O:14-S:2-X:1	Cu:Ni:Fe:Cr:Cd:Mg:Zn	6057:6076:2233:3721:9399:6080:2220	1937:1962:1853:1804:1834:1897:1769
As:2-S:3-X:2	S:Na	1017:1056	1839:1863
C:7-H:19-N:1-X:1	O:C	5313:5272	1976:1907
C:2-H:2-O:4-X:1	Hg:Pb:Ba:Ca:Cu:Mg	2428:596:858:6447:5312:7320	1960:1965:1856:1734:1937:1913
C:13-H:12-Cl:1-N:3-X:2	H:Br	4692:4694	1917:1998
C:5-H:10-N:1-O:1-X:1	N:H	8577:4632	1947:1832
C:6-H:4-N:2-O:3-X:1	S:O:C	8041:2977:9289	1713:1986:1844
C:6-H:4-N:2-O:3-X:2	H:O	4918:2982	1804:1913
C:7-H:5-N:1-O:3-X:2	O:H	5942:4858	1731:1833
C:3-H:5-N:2-O:3-X:1	N:H	6980:2552	1907:1990
H:18-N:3-O:18-X:1	Al:Fe:Cr	5582:7095:4997	1766:1718:1836
H:8-Mo:1-N:2-O:5-X:1	Zn:Co:Mg:Ni	5237:5235:5236:5260	1920:1840:1760:1932
C:6-H:13-N:1-X:2	Se:H:O:S	4267:5130:764:4254	1783:1991:1852:1945
C:6-H:15-Cl:1-X:1	Pb:Te:C	8502:5557:8773	1811:1948:1859
C:7-H:19-O:1-X:1	N:Sb	5313:5098	1976:1819
H:4-Mn:1-O:10-S:2-X:2	Na:H:K	1069:11077:6383	1981:1713:1758
C:7-H:5-Cl:1-X:2	O:S:H:Cl	2846:11146:4454:7068	1729:1752:1783:1974
Cl:2-H:12-N:4-O:4-S:1-X:1	Pt:Ir	9884:5620	1900:1724
C:9-H:9-Cl:1-O:1-X:2	H:O	8418:11225	1960:1720
C:6-H:3-I:2-X:1	I:H	10070:8414	1899:1908
C:6-H:14-X:1	C:O	2580:5506	1893:1810
C:6-H:14-X:2	O:C	4256:10122	1714:1711
H:12-Ni:1-O:9-S:1-X:1	O:S	4186:3218	1827:1888
C:6-H:14-X:4	C:O	2555:8570	1786:1865
C:6-H:14-X:6	O:C	3836:2934	1790:1982
C:2-H:6-N:1-X:1	N:H	6802:2578	1753:1868
C:6-H:6-O:4-X:1	Pb:S:C	6235:8042:4943	1966:1708:1892
C:6-H:6-O:4-X:2	H:C:O	2031:1925:2912	1730:1783:1881
C:4-Cl:1-O:1-X:9	Cl:H	2923:6961	1997:1937
Ba:1-Br:1-O:2-X:1	Br:O	1127:3036	1759:1704
C:6-H:9-N:3-O:1-X:2	O:H	4483:7730	1895:1711
C:14-H:34-P:2-X:2	Br:Cl	7689:7663	1827:1779
Cr:1-O:2-X:2	F:O:Cl:H	911:994:1388:4569	1858:1826:1825:1771
I:1-Li:2-O:6-X:3	Li:H	11023:11022	1810:1901
C:7-H:12-O:1-X:2	N:C:H:O	2922:6220:3824:9731	1948:1912:1817:1740
C:7-H:12-O:1-X:3	C:O	3153:6979	1721:1788
C:7-H:11-N:3-O:2-X:1	C:O	7623:5080	1907:1767
C:7-H:12-O:1-X:4	N:H	10273:5507	1909:1871
C:8-H:14-O:4-X:1	Ba:S:Ca:O	5995:10058:7033:5269	1806:1987:1991:1804
C:8-H:14-O:4-X:4	O:C	4214:1926	1873:1717
C:18-H:14-O:4-X:4	O:H	10712:6227	1717:1744
K:2-O:3-Se:1-X:1	O:S	1282:9381	1910:1961
C:16-H:15-N:2-O:4-X:1	H:N	6226:8084	1985:1884
K:1-O:3-P:1-X:2	H:K	1396:5588	1869:1952
C:14-H:11-O:3-X:1	N:H	4652:1944	1859:1740
H:8-O:17-Te:4-X:2	Na:K	2105:2120	1738:1753
C:2-H:5-Hg:1-X:1	I:H:Cl:Br	5991:7029:2289:6001	1939:1981:1807:1728
C:4-H:6-S:2-X:2	H:O	8185:8402	1908:1744
C:6-H:12-X:12	C:O	9236:6740	1700:1813
C:8-H:10-X:1	O:S	4915:9609	1985:1761
C:4-H:6-O:5-S:1-X:2	O:C:H:Ag	3075:7616:6392:9168	1878:1739:1810:1741
C:4-H:6-N:1-O:3-X:1	Ag:H	9677:1532	1748:1944
C:8-H:10-X:4	O:C:H	6381:4747:10122	1852:1787:1711
O:1-Sn:1-X:1	O:H	42:2497	1795:1884
O:1-Sn:1-X:2	Cl:F	5375:962	1904:1702
C:8-H:10-X:6	H:C	10016:2267	1856:1726
Na:2-W:1-X:4	S:O	6525:888	1989:1752
C:8-H:10-X:8	O:H	7996:4836	1727:1857
C:9-H:18-X:2	O:H	4636:6201	1883:1793
C:2-H:3-Cl:1-O:2-X:1	Ca:Pb	2014:8650	1800:1728
C:9-H:18-X:3	C:O	10637:6208	1900:1959
Cl:2-Hg:1-O:4-X:4	Hg:O	4182:1765	1910:1981
C:8-H:3-Br:1-N:1-O:2-X:1	H:Br	2955:2870	1794:1910
C:6-H:6-N:4-X:6	H:N:O	1627:2155:7281	1741:1969:1878
Bi:1-H:18-I:5-O:9-X:1	Ba:Ca	7537:7570	1959:1879
C:6-H:3-N:2-O:2-X:3	Br:H	9265:4246	1887:1853
N:1-O:3-Os:1-X:1	Hg:Ag:K:H	4341:4342:4281:4348	1762:1844:1958:1977
C:3-H:4-N:2-O:2-X:2	N:H:O	2052:5913:2679	1727:1707:1896
H:3-O:4-Sn:1-X:1	P:H	1319:3524	1841:1764
C:7-H:3-O:2-X:3	Br:Cl:H	8090:4029:1535	1971:1916:1953
C:8-H:18-O:1-X:2	C:O	2930:7567	1806:1787
C:3-H:8-X:1	C:O	2675:2202	1768:1956
C:3-H:8-X:2	C:O	11351:6840	1773:1872
C:3-H:8-X:3	O:S	2450:8383	1772:1844
O:6-Sr:1-X:2	Sb:S:Br:N:I:P:Cl	5429:1179:5586:3459:2621:4277:525	1787:1741:1721:1936:1915:1800:1993
H:2-Hg:2-O:8-X:2	Cl:N	3619:4141	1879:1870
C:9-H:11-Cl:1-O:2-X:1	S:C	10255:10687	1830:1786
C:14-H:11-N:3-X:4	O:H	7633:8564	1845:1805
Bi:2-O:6-X:1	S:Cr	1898:6321	1931:1944
Na:2-Pt:1-X:6	I:Cl	1865:1957	1735:1747
C:5-H:7-Br:1-X:4	O:H	10052:5135	1815:1800
C:7-H:5-Br:1-O:2-X:2	H:O:Br	9628:10647:4656	1958:1945:1864
O:1-Pt:1-X:1	O:H:S	1958:138:140	1763:1905:1819
C:3-H:5-Na:1-O:1-X:2	O:S	7329:4897	1800:1787
C:17-H:23-O:3-X:1	N:H	2587:5958	1759:1968
C:11-H:14-O:2-X:1	O:C	6719:10263	1920:1801
C:11-H:14-O:2-X:2	O:C:H	4667:3864:6718	1814:1842:1903
C:12-H:16-O:5-X:1	C:O	11205:3704	1845:1983
C:6-H:2-Cl:2-X:2	H:O:Cl	2768:4857:10282	1960:1799:1914
F:6-Fe:1-H:12-O:6-X:1	Si:Ti	951:8677	1996:1855
C:4-H:9-Cl:1-O:1-X:1	O:C	8530:9327	1766:1984
Cl:3-Fe:1-O:1-X:1	H:N	1685:8634	1753:1709
K:2-Sb:1-X:5	I:F	7507:5382	1806:1818
C:6-Fe:2-N:6-X:1	Mg:H:Ca:Ba:Os:Sr:Fe:K	7926:4148:7897:7900:7915:7925:7792:2227	1860:1864:1832:1982:1845:1707:1974:1752
C:10-H:12-O:3-S:1-X:2	H:C	10622:7630	1722:1770
C:6-Fe:2-N:6-X:2	H:Na:K	7437:7918:195	1856:1988:1941
C:16-H:14-N:2-O:3-X:2	H:C	6225:6469	1929:1983
C:16-H:14-N:2-O:3-X:3	C:O	9269:9274	1794:1891
C:11-H:10-O:5-X:2	O:H	6745:5523	1839:1947
O:13-W:4-X:1	Cu:Cd:Pb:Ba	7820:7879:7774:7819	1714:1786:1721:1706
O:13-W:4-X:2	Na:H:Li	7753:7889:7891	1794:1846:1799
C:8-H:18-N:1-X:1	H:N	5272:7093	1907:1997
C:7-H:5-X:3	H:Cl	3152:7068	1972:1974
O:1-Sb:2-X:2	O:S	221:236	1720:1931
C:3-H:6-S:1-X:2	S:O	4269:9313	1835:1894
C:15-H:10-O:3-X:2	O:N	4874:8068	1753:1732
C:7-H:4-N:1-O:2-X:3	H:Br	3140:10160	1955:1716
C:3-H:6-S:1-X:4	C:O	3094:6668	1944:1975
C:15-H:10-O:3-X:4	O:H	5953:11229	1743:1876
C:2-H:5-Br:1-X:1	C:O:Hg	6261:8930:6001	1932:1744:1728
C:4-H:5-N:1-O:2-X:1	S:C:O	9738:5288:8192	1861:1776:1969
Al:1-X:1	As:N	1290:8206	1795:1829
C:4-H:5-N:1-O:2-X:2	Br:C:H	9590:2180:6703	1752:1794:1718
Al:1-X:2	Cl:B	6060:6572	1792:1921
Cu:1-O:6-X:2	Cl:N:I:S:V	3468:1254:2602:1209:1776	1868:1892:1801:1913:1890
Al:1-X:3	Cl:F:I:Br	80:6277:6779:7028	1997:1969:1908:1831
Co:3-O:6-X:2	Sb:As	400:5431	1724:1926
C:4-H:5-N:1-O:2-X:4	H:C	8169:2049	1811:1942
Nb:2-O:3-X:2	S:O	9774:6831	1972:1918
C:4-H:11-O:2-P:1-X:2	S:O	7345:4847	1810:1928
H:8-N:2-O:6-Pt:1-X:2	N:S	5005:1621	1897:1742
Ca:1-H:18-N:6-X:2	I:Br	10975:3290	1959:1998
H:1-N:1-O:4-S:1-X:1	Zn:O	2756:432	1769:1742
C:3-H:10-N:2-O:3-X:2	H:C	43:4623	1887:1869
Co:1-H:1-O:1-X:1	Cl:Sb	10327:5447	1895:1737
C:4-H:4-Br:2-X:2	C:H:O	6713:8811:8397	1772:1739:1846
Cl:2-H:2-O:1-X:1	Zn:Cu	1779:2094	1984:1846
C:4-H:4-Br:2-X:4	H:O	8793:7990	1925:1766
K:2-S:4-X:1	Mo:Te:S:W	1018:6582:816:1187	1872:1828:1718:1717
S:1-U:1-X:1	O:S	9405:8643	1710:1999
I:6-X:1	Hg:Te	2662:2138	1931:1772
C:5-H:6-O:3-X:1	O:C	855:3694	1956:1702
C:5-H:6-O:3-X:2	H:N:C	9743:3463:2850	1853:1842:1776
C:6-H:3-O:1-X:3	Cl:I:H:Br	2971:8054:1952:2972	1887:1937:1776:1958
H:1-N:8-O:1-W:12-X:2	N:Na	4283:5841	1909:1726
C:5-H:6-O:3-X:4	H:C	2454:7731	1923:1736
Na:1-O:6-S:4-X:1	Na:Au	3170:3928	1873:1739
C:5-H:6-O:3-X:5	O:C	8035:9373	1791:1798
H:12-Mg:1-N:2-O:10-X:2	O:Mo	3914:10443	1836:1769
C:12-H:18-I:1-N:1-X:2	C:H	7670:5336	1797:1765
C:12-H:1-Cu:3-N:12-O:1-X:2	Fe:Co	10508:4381	1895:1894
Cl:1-H:13-N:4-O:1-Pt:1-X:2	Br:Cl	9953:9939	1883:1945
C:12-H:4-N:2-O:2-X:6	H:O	8427:3112	1768:1937
K:2-Mo:1-X:4	O:S	1008:1018	1936:1872
C:6-H:6-N:2-O:3-S:1-X:4	H:C	6259:2569	1878:1991
As:1-H:4-N:1-O:4-X:1	Ca:Mg	6946:7193	1970:1876
C:2-H:4-N:3-S:2-X:1	Ag:Au	6325:9461	1764:1975
S:5-X:1	Ca:Sr:Zn:Cd:Ba	758:8298:7548:7578:7797	1982:1905:1807:1774:1767
S:5-X:2	Na:Sb:P:Li:As:K:Ag	1139:480:1628:4131:1017:816:8252	1935:1837:1790:1982:1839:1718:1843
C:16-H:16-O:3-X:1	O:C	3434:5718	1872:1757
C:13-H:20-O:2-X:1	O:C	9718:10147	1925:1815
C:16-H:18-X:2	C:N	10609:6992	1996:1964
C:16-H:18-X:4	N:O	4681:10649	1914:1803
Cl:1-Li:1-O:1-X:2	H:O	3946:3474	1881:1728
Ca:3-O:6-X:2	As:Ir	2489:7466	1864:1896
O:6-Pb:3-X:2	As:N:C:B	4557:4789:3359:4984	1821:1978:1943:1903
C:3-H:5-Br:1-Cl:1-X:1	Br:Cl	6647:6692	1982:1930
K:2-O:3-S:1-X:1	S:O:Se	576:465:9381	1920:1744:1961
Cd:1-W:1-X:4	S:O	1157:2353	1921:1702
H:4-O:4-P:2-X:1	Mg:Ni:Be:Ba:Pb:Sr:Cu:Co:Zn:Cd:Ca	4102:4107:1473:1432:1477:1346:1415:1489:1502:1446:1100	1936:1986:1706:1935:1940:1931:1756:1943:1839:1865:1756
H:4-O:4-P:2-X:2	O:N	2577:9869	1980:1829
Hg:4-O:8-P:2-X:2	H:Hg	4327:2507	1875:1856
C:3-H:1-N:1-O:5-X:2	K:H	9320:9220	1859:1707
C:3-H:5-Cl:2-O:1-X:1	N:H	9208:7590	1713:1976
C:5-H:10-O:3-X:1	O:C	5889:8884	1810:1817
C:5-H:10-O:3-X:2	C:N	6404:4623	1741:1869
C:4-H:3-Cl:3-O:2-X:2	H:C	2806:4869	1959:1898
C:6-H:12-O:6-X:1	O:C	8374:2683	1776:1953
C:6-H:12-O:6-X:2	H:N	3836:4217	1790:1771
C:1-H:1-Cl:1-X:2	H:Cl:Br	2252:1824:5894	1998:1746:1842
C:8-H:22-Ca:1-O:12-X:4	O:C	7077:7575	1805:1700
C:6-H:12-O:6-X:6	C:O	6989:6740	1723:1813
H:8-N:2-Sb:1-X:5	Cl:F:I	3953:5421:7502	1783:1868:1958
C:6-H:1-Fe:1-N:6-Na:3-O:1-X:1	K:H	10922:1597	1955:1965
O:6-Sn:1-X:2	N:Cl	1554:3588	1934:1864
N:4-O:12-X:1	Ce:Th:Ti	6842:1547:8623	1974:1785:1799
C:3-H:5-I:1-O:1-X:1	O:C	7959:9566	1753:1847
C:1-H:5-N:1-O:1-X:1	C:O	4255:1933	1847:1956
C:1-H:5-N:1-O:1-X:2	C:O	4719:151	1776:1723
C:2-H:5-N:3-O:3-X:2	C:N	2702:6981	1706:1906
C:12-H:7-Cl:2-N:3-X:2	H:Cl	8565:8562	1985:1885
C:8-H:11-N:1-X:1	C:O	6994:8153	1797:1708
C:8-H:11-N:1-X:2	C:O:N	4646:11303:10065	1976:1738:1721
C:8-H:11-N:1-X:4	C:H	8489:11105	1817:1798
C:8-H:9-N:4-O:2-X:1	Cl:H	5086:3647	1739:1879
C:8-H:11-N:1-X:6	H:C	3445:2465	1858:1999
C:12-H:9-O:4-X:1	H:N	3880:6420	1909:1754
Mg:1-O:8-S:2-X:2	K:H	6054:5656	1783:1795
C:12-H:9-O:4-X:3	N:H	9252:8543	1958:1760
O:1-Si:1-X:1	O:H	990:386	1926:1848
C:12-H:9-O:4-X:5	N:H	8566:1926	1954:1717
C:6-H:7-Cl:1-N:1-O:1-X:1	H:Bi	11277:8748	1846:1972
F:6-X:1	W:Fe:Sn:Ti:Zr	6755:10832:7102:1077:7678	1815:1966:1921:1790:1772
F:2-H:8-O:4-X:1	Zn:Fe	340:940	1830:1983
H:2-N:2-O:8-Pb:3-X:1	Pb:O	409:9827	1998:1943
C:4-H:6-O:2-X:1	C:O:S	7712:2170:5881	1841:1724:1828
C:4-H:6-O:2-X:2	Br:Cl:O:H:N:S:I:C	6971:3843:2150:2842:3074:8402:8020:3139	1830:1746:1724:1831:1916:1744:1781:1905
C:6-H:16-O:3-X:1	C:Si	5904:10357	1705:1794
C:21-H:16-N:2-X:1	O:S	4436:4253	1948:1853
C:4-H:6-O:2-X:3	O:C	593:1535	1987:1953
C:4-H:6-O:2-X:4	O:H:C:S:N	65:6366:9740:4424:9357	1967:1806:1859:1794:1798
Na:1-O:3-S:1-X:1	Cl:H:Na	5774:770:51	1734:1701:1836
Na:2-S:1-X:4	S:O	1139:249	1935:1975
P:5-X:3	Al:Pt	1308:4756	1754:1774
S:4-Te:1-X:2	K:Na	6582:6621	1828:1736
C:9-H:10-O:1-X:1	O:S	1512:8838	1964:1820
C:6-H:4-I:1-N:1-X:2	O:I:N:H	8210:9639:10091:4720	1876:1811:1768:1787
C:9-H:10-O:1-X:2	H:O	6220:4037	1912:1852
C:6-H:2-Br:1-O:2-X:3	Cl:Br	11252:5939	1888:1984
C:7-H:7-N:1-O:4-X:1	S:C	6999:4432	1859:1947
C:7-H:7-N:1-O:4-X:2	N:C	8854:4242	1750:1734
C:9-H:10-O:1-X:3	C:O	5771:4040	1989:1707
C:5-H:8-Cl:1-O:2-X:1	H:Br:Cl	7083:6975:6974	1732:1929:1975
C:9-H:10-O:1-X:4	H:O:C	4884:9247:4735	1807:1870:1928
C:4-H:8-N:1-O:4-X:1	H:N	2082:5268	1832:1813
C:6-H:2-Cl:2-N:1-O:2-X:1	Cl:H	10094:11343	1890:1842
Zr:1-X:4	F:Cl	1014:2838	1916:1901
H:10-O:13-U:1-X:2	I:P:As	3609:4484:4487	1770:1954:1838
Cl:3-S:1-X:1	P:Cl:Sb	1543:6846:4954	1953:1721:1947
H:3-O:4-P:1-X:1	Sn:Mg:Ca	1319:10318:1330	1841:1938:1778
H:4-N:3-O:4-P:2-Pb:1-X:2	Pb:H	9856:9858	1997:1845
C:15-H:33-X:1	N:Sb	5063:6233	1953:1943
C:3-H:6-Cl:1-O:1-X:1	I:N:Br:H:Cl	7592:7270:6268:8177:7590	1813:1949:1750:1713:1976
C:5-H:11-N:1-O:1-X:1	O:C	4635:4854	1740:1819
C:5-H:11-N:1-O:1-X:2	H:O	7058:11072	1780:1896
C:5-H:11-N:1-O:1-X:3	C:H	8153:5508	1708:1783
C:2-H:12-N:4-O:4-Pt:1-X:2	Cl:Br	2671:9972	1724:1861
K:2-O:4-X:1	Mo:Fe:S:U:W:Mn:Os:Ru:Se:Te:Cr	1008:3002:465:3219:1088:5589:3703:3916:1282:1967:272	1936:1741:1744:1789:1942:1919:1760:1731:1910:1992:1964
C:6-H:5-N:2-O:3-X:1	Cl:N:H:S	7291:8117:4918:8040	1793:1934:1804:1828
K:2-O:4-X:2	C:B:Fe:As	348:2217:3000:4602	1933:1966:1917:1826
Cl:6-Na:3-X:1	Rh:Ir:Bi	6070:8948:8241	1937:1997:1981
C:3-H:6-N:2-O:3-X:2	C:N	3463:4423	1842:1935
O:6-Sb:2-X:1	Sr:Zn:Ca	5429:5367:5360	1787:1701:1911
O:6-Sb:2-X:2	K:H	3749:403	1957:1713
